doc_id,date,source_type,region,category,text
TCK-1001,2023-07-24,support_ticket,North,Electronics,Regional marketing lead flagged that the Electronics paid-search budget for North was cut ~90% starting this week as part of a Q3 budget reallocation.
TCK-1002,2023-08-02,internal_note,North,Electronics,"Paid traffic for North Electronics down sharply again this week. Confirmed with growth team: campaign budget was paused, not a tracking issue."
PROMO-2001,2023-10-27,promo_calendar,ALL,Home,"Flash sale scheduled: 30% off all Home category items, all regions, Oct 28 - Nov 6. Expected to lift units meaningfully despite lower AOV."
NEWS-2002,2023-10-29,news,ALL,Home,"Retailer's autumn Home flash sale drew strong early traffic according to industry trackers, with heavy discounting across furniture and decor lines."
TCK-3001,2024-02-06,support_ticket,South,Apparel,Multiple customer complaints: Apparel items showing in-stock online but unavailable at South region fulfillment center. Warehouse confirms supply disruption from vendor.
TCK-3002,2024-02-10,support_ticket,South,Apparel,"Ongoing stockout in South Apparel, vendor delay now entering second week. Fulfillment estimates 15% of normal stock on hand."
TCK-4001,2024-05-15,internal_note,ALL,ALL,Engineering incident opened: checkout API latency spiked ~5x starting today after a payment-gateway config change. Online conversion impact expected; in-store/wholesale unaffected.
TCK-4002,2024-05-18,internal_note,ALL,ALL,"Checkout latency incident resolved as of today, rollback of the payment gateway config deployed last night."
PROMO-5001,2024-07-13,promo_calendar,East,Electronics,East Electronics paid marketing budget doubled starting this week to capture summer seasonal demand. Team notes this period historically has strong organic/seasonal lift already.
NEWS-6001,2023-04-12,news,ALL,Apparel,"Unseasonable cold snap moving across the country this week, temperatures roughly 8-10C below normal for mid-April in multiple regions."
TCK-6002,2023-04-15,internal_note,ALL,Apparel,"Merchandising team observing a bump in coat and sweater sell-through, consistent with the cold snap reported earlier this week."
