week_start,week_end,region,category,marketing_spend,adstock_marketing,email_sends,traffic_organic,traffic_paid,traffic_direct,traffic_total,source_system,grain,available_at
2022-12-26,2023-01-01,East,Apparel,995.34,995.34,1000,1494.9,283.6,21.1,1799.7,ad_platform_export,weekly,2023-01-03 09:00:00
2023-01-02,2023-01-08,East,Apparel,7235.47,2069.171428571429,24000,8007.5,2749.8,419.29999999999995,11176.8,ad_platform_export,weekly,2023-01-10 09:00:00
2023-01-09,2023-01-15,East,Apparel,6719.26,2186.6428571428573,17000,7502.7,2888.0,292.5,10683.2,ad_platform_export,weekly,2023-01-17 09:00:00
2023-01-16,2023-01-22,East,Apparel,7242.52,2239.5814285714287,22000,6788.8,2880.3,363.5,10032.8,ad_platform_export,weekly,2023-01-24 09:00:00
2023-01-23,2023-01-29,East,Apparel,6883.03,2212.6057142857144,19000,5927.3,2845.1,247.4,9020.2,ad_platform_export,weekly,2023-01-31 09:00:00
2023-01-30,2023-02-05,East,Apparel,6989.24,2210.082857142857,23000,5536.7,2927.5,263.5,8727.9,ad_platform_export,weekly,2023-02-07 09:00:00
2023-02-06,2023-02-12,East,Apparel,7256.19,2284.0042857142857,18000,5196.9,3123.4,216.2,8536.3,ad_platform_export,weekly,2023-02-14 09:00:00
2023-02-13,2023-02-19,East,Apparel,17904.8,5004.962857142857,23000,4814.7,3981.9,221.8,9018.3,ad_platform_export,weekly,2023-02-21 09:00:00
2023-02-20,2023-02-26,East,Apparel,12317.64,4558.05,18000,5062.2,3766.7,176.4,9005.2,ad_platform_export,weekly,2023-02-28 09:00:00
2023-02-27,2023-03-05,East,Apparel,7271.92,2336.362857142857,19000,4894.3,2990.0,186.3,8070.5,ad_platform_export,weekly,2023-03-07 09:00:00
2023-03-06,2023-03-12,East,Apparel,7374.67,2352.535714285714,20000,5068.3,3082.9,187.6,8338.8,ad_platform_export,weekly,2023-03-14 09:00:00
2023-03-13,2023-03-19,East,Apparel,7519.12,2367.502857142857,13000,5151.4,2971.4,130.4,8253.2,ad_platform_export,weekly,2023-03-21 09:00:00
2023-03-20,2023-03-26,East,Apparel,7521.86,2386.344285714286,20000,5301.6,3025.9,206.6,8534.0,ad_platform_export,weekly,2023-03-28 09:00:00
2023-03-27,2023-04-02,East,Apparel,7737.83,2445.1614285714286,21000,5226.7,3011.8,225.5,8464.1,ad_platform_export,weekly,2023-04-04 09:00:00
2023-04-03,2023-04-09,East,Apparel,7752.0199999999995,2445.6785714285716,17000,5407.3,2903.8,170.79999999999998,8481.8,ad_platform_export,weekly,2023-04-11 09:00:00
2023-04-10,2023-04-16,East,Apparel,7729.7,2478.664285714286,23000,6232.1,2927.9,231.2,9391.1,ad_platform_export,weekly,2023-04-18 09:00:00
2023-04-17,2023-04-23,East,Apparel,7657.32,2426.815714285714,14000,6496.0,2939.8,138.4,9574.3,ad_platform_export,weekly,2023-04-25 09:00:00
2023-04-24,2023-04-30,East,Apparel,7550.0,2419.4614285714283,25000,5733.5,2969.7,260.1,8963.3,ad_platform_export,weekly,2023-05-02 09:00:00
2023-05-01,2023-05-07,East,Apparel,9926.85,2880.0128571428572,25000,5847.8,3126.9,251.70000000000002,9226.5,ad_platform_export,weekly,2023-05-09 09:00:00
2023-05-08,2023-05-14,East,Apparel,11722.24,3886.9428571428575,27000,6059.2,3644.9,277.5,9981.5,ad_platform_export,weekly,2023-05-16 09:00:00
2023-05-15,2023-05-21,East,Apparel,20315.54,5744.1957142857145,29000,5997.2,3955.0,310.4,10262.5,ad_platform_export,weekly,2023-05-23 09:00:00
2023-05-22,2023-05-28,East,Apparel,14161.8,5185.9914285714285,17000,6047.2,3942.2,174.0,10163.3,ad_platform_export,weekly,2023-05-30 09:00:00
2023-05-29,2023-06-04,East,Apparel,7847.91,2557.1242857142856,22000,6091.9,3019.7,212.0,9323.5,ad_platform_export,weekly,2023-06-06 09:00:00
2023-06-05,2023-06-11,East,Apparel,7900.0199999999995,2529.8214285714284,16000,6334.4,2864.7,160.9,9359.8,ad_platform_export,weekly,2023-06-13 09:00:00
2023-06-12,2023-06-18,East,Apparel,7867.92,2511.5885714285714,22000,6129.7,2739.1,192.1,9060.7,ad_platform_export,weekly,2023-06-20 09:00:00
2023-06-19,2023-06-25,East,Apparel,16651.67,4501.517142857143,18000,6073.6,3499.6000000000004,187.0,9760.3,ad_platform_export,weekly,2023-06-27 09:00:00
2023-06-26,2023-07-02,East,Apparel,21321.829999999998,7069.378571428571,28000,6028.0,4351.7,280.0,10659.8,ad_platform_export,weekly,2023-07-04 09:00:00
2023-07-03,2023-07-09,East,Apparel,7986.76,3003.345714285714,30000,6086.599999999999,3239.7,283.6,9609.7,ad_platform_export,weekly,2023-07-11 09:00:00
2023-07-10,2023-07-16,East,Apparel,7817.82,2491.4071428571433,23000,6034.1,2889.0,238.3,9161.4,ad_platform_export,weekly,2023-07-18 09:00:00
2023-07-17,2023-07-23,East,Apparel,7954.58,2500.452857142857,23000,5860.1,2892.3,215.5,8968.0,ad_platform_export,weekly,2023-07-25 09:00:00
2023-07-24,2023-07-30,East,Apparel,20816.71,5826.808571428572,22000,6160.7,4053.7,222.1,10436.3,ad_platform_export,weekly,2023-08-01 09:00:00
2023-07-31,2023-08-06,East,Apparel,16772.17,5627.515714285714,21000,5922.3,3949.3,219.4,10091.0,ad_platform_export,weekly,2023-08-08 09:00:00
2023-08-07,2023-08-13,East,Apparel,26079.48,7772.4685714285715,19000,5729.4,4592.5,202.89999999999998,10524.5,ad_platform_export,weekly,2023-08-15 09:00:00
2023-08-14,2023-08-20,East,Apparel,7928.65,3530.335714285714,18000,5785.6,3363.6,173.8,9323.0,ad_platform_export,weekly,2023-08-22 09:00:00
2023-08-21,2023-08-27,East,Apparel,28361.43,7464.271428571429,23000,5973.5,4541.1,233.1,10747.8,ad_platform_export,weekly,2023-08-29 09:00:00
2023-08-28,2023-09-03,East,Apparel,30881.17,10100.521428571428,17000,5559.8,4925.1,161.3,10646.1,ad_platform_export,weekly,2023-09-05 09:00:00
2023-09-04,2023-09-10,East,Apparel,19839.7,7244.925714285714,27000,5380.1,4587.0,283.2,10250.2,ad_platform_export,weekly,2023-09-12 09:00:00
2023-09-11,2023-09-17,East,Apparel,7541.31,2704.6042857142857,21000,5408.5,3178.3999999999996,221.3,8808.1,ad_platform_export,weekly,2023-09-19 09:00:00
2023-09-18,2023-09-24,East,Apparel,7569.63,2393.3971428571426,25000,5094.8,2961.1,252.0,8308.0,ad_platform_export,weekly,2023-09-26 09:00:00
2023-09-25,2023-10-01,East,Apparel,7134.9400000000005,2306.7314285714283,20000,5143.7,2852.7,196.7,8193.2,ad_platform_export,weekly,2023-10-03 09:00:00
2023-10-02,2023-10-08,East,Apparel,7143.530000000001,2240.3942857142856,21000,4865.0,2859.5,200.7,7925.1,ad_platform_export,weekly,2023-10-10 09:00:00
2023-10-09,2023-10-15,East,Apparel,7353.63,2330.4528571428573,25000,4862.7,2869.4,243.1,7975.3,ad_platform_export,weekly,2023-10-17 09:00:00
2023-10-16,2023-10-22,East,Apparel,7286.7,2311.4285714285716,30000,4639.2,2769.6,297.0,7705.7,ad_platform_export,weekly,2023-10-24 09:00:00
