date,region,category,day_of_week,month,orders,units_sold,lost_units_stockout,aov,net_sales_revenue,stock_availability,checkout_latency_ms,conversion_rate,traffic_online,traffic_instore,traffic_wholesale,price_discount_depth,promo_flag,source_system,grain,available_at,traffic_total,weather_temp_c,competitor_price_index
2023-01-01,East,Apparel,6,1,68.3,136.7,0.0,46.09,6298.88,1.0,232.8,0.03797,1217.8,395.6,179.2,0.0,0,sales_ops_db,daily,2023-01-02 06:00:00,1792.6,4.2,100.18
2023-01-01,East,Electronics,6,1,17.9,19.7,0.0,249.98,4916.81,1.0,200.6,0.01895,638.8,200.7,94.9,0.0,0,sales_ops_db,daily,2023-01-02 06:00:00,934.4,4.2,100.18
2023-01-01,East,Home,6,1,25.8,36.2,0.0,79.36,2870.03,1.0,206.6,0.02326,738.1,241.7,112.3,0.0,0,sales_ops_db,daily,2023-01-02 06:00:00,1092.1,4.2,100.18
2023-01-01,North,Apparel,6,1,68.4,136.9,0.0,45.13,6177.44,1.0,237.3,0.03939,1212.7,389.4,169.7,0.0,0,sales_ops_db,daily,2023-01-02 06:00:00,1771.8,4.2,100.18
2023-01-01,North,Electronics,6,1,20.4,22.4,0.0,242.41,5429.57,1.0,209.0,0.02022,686.9,215.4,100.5,0.0,0,sales_ops_db,daily,2023-01-02 06:00:00,1002.8,4.2,100.18
2023-01-01,North,Home,6,1,27.5,38.5,0.0,78.72,3033.35,1.0,220.9,0.02313,811.4,259.3,121.1,0.0,0,sales_ops_db,daily,2023-01-02 06:00:00,1191.8,4.2,100.18
2023-01-01,South,Apparel,6,1,65.7,131.3,0.0,44.04,5783.05,1.0,228.9,0.03938,1111.3,364.7,169.3,0.0,0,sales_ops_db,daily,2023-01-02 06:00:00,1645.3,4.2,100.18
2023-01-01,South,Electronics,6,1,17.7,19.5,0.0,243.8,4744.46,1.0,211.6,0.0198,613.2,195.2,87.3,0.0,0,sales_ops_db,daily,2023-01-02 06:00:00,895.7,4.2,100.18
2023-01-01,South,Home,6,1,24.1,33.8,0.0,79.84,2695.85,1.0,213.3,0.02212,722.9,242.6,107.0,0.0,0,sales_ops_db,daily,2023-01-02 06:00:00,1072.5,4.2,100.18
2023-01-01,West,Apparel,6,1,70.1,140.1,0.0,44.85,6284.46,1.0,193.8,0.04369,1109.5,361.8,164.2,0.0,0,sales_ops_db,daily,2023-01-02 06:00:00,1635.5,4.2,100.18
2023-01-01,West,Electronics,6,1,17.4,19.2,0.0,258.97,4969.12,1.0,232.4,0.01974,562.0,193.5,88.6,0.0,0,sales_ops_db,daily,2023-01-02 06:00:00,844.1,4.2,100.18
2023-01-01,West,Home,6,1,27.6,38.6,0.0,79.81,3081.16,1.0,221.4,0.02374,773.3,257.1,115.5,0.0,0,sales_ops_db,daily,2023-01-02 06:00:00,1145.9,4.2,100.18
2023-01-02,East,Apparel,0,1,41.2,82.4,0.0,41.67,3435.23,1.0,209.6,0.03012,911.8,305.5,133.8,0.0,0,sales_ops_db,daily,2023-01-03 06:00:00,1351.1,-0.6,100.2
2023-01-02,East,Electronics,0,1,16.4,18.1,0.0,232.68,4206.02,1.0,204.9,0.01646,654.2,216.1,99.2,0.0,0,sales_ops_db,daily,2023-01-03 06:00:00,969.5,-0.6,100.2
2023-01-02,East,Home,0,1,28.4,39.7,0.0,75.63,3004.15,1.0,216.4,0.0239,812.3,258.9,115.3,0.0,0,sales_ops_db,daily,2023-01-03 06:00:00,1186.4999999999998,-0.6,100.2
2023-01-02,North,Apparel,0,1,44.8,89.7,0.0,45.26,4058.23,1.0,219.4,0.02903,1057.9,335.8,154.5,0.0,0,sales_ops_db,daily,2023-01-03 06:00:00,1548.2,-0.6,100.2
2023-01-02,North,Electronics,0,1,17.2,18.9,0.0,250.41,4725.54,1.0,218.6,0.01791,650.0,205.6,97.6,0.0,0,sales_ops_db,daily,2023-01-03 06:00:00,953.2,-0.6,100.2
2023-01-02,North,Home,0,1,51.7,72.4,0.0,64.25,4649.45,1.0,208.6,0.04065,876.4,275.5,128.4,0.2,1,sales_ops_db,daily,2023-01-03 06:00:00,1280.3000000000002,-0.6,100.2
2023-01-02,South,Apparel,0,1,42.8,85.5,0.0,47.42,4056.65,1.0,223.2,0.02825,1061.7,334.7,145.7,0.0,0,sales_ops_db,daily,2023-01-03 06:00:00,1542.1,-0.6,100.2
2023-01-02,South,Electronics,0,1,17.2,18.9,0.0,243.3,4593.21,1.0,259.1,0.01766,675.2,209.2,98.5,0.0,0,sales_ops_db,daily,2023-01-03 06:00:00,982.9,-0.6,100.2
2023-01-02,South,Home,0,1,23.6,33.0,0.0,79.72,2632.09,1.0,203.2,0.02295,685.4,224.8,103.7,0.0,0,sales_ops_db,daily,2023-01-03 06:00:00,1013.9,-0.6,100.2
2023-01-02,West,Apparel,0,1,39.9,79.8,0.0,44.92,3583.4,1.0,209.5,0.02977,916.8,288.6,133.2,0.0,0,sales_ops_db,daily,2023-01-03 06:00:00,1338.6,-0.6,100.2
2023-01-02,West,Electronics,0,1,13.4,14.7,0.0,255.72,3762.85,1.0,212.5,0.01625,570.3,177.8,83.7,0.0,0,sales_ops_db,daily,2023-01-03 06:00:00,831.8,-0.6,100.2
2023-01-02,West,Home,0,1,24.6,34.5,0.0,78.38,2701.01,1.0,224.1,0.02448,678.9,221.2,100.5,0.0,0,sales_ops_db,daily,2023-01-03 06:00:00,1000.6,-0.6,100.2
2023-01-03,East,Apparel,1,1,40.9,81.9,0.0,45.5,3724.82,1.0,230.6,0.02725,1017.2,310.6,149.8,0.0,0,sales_ops_db,daily,2023-01-04 06:00:00,1477.6,5.7,100.42
2023-01-03,East,Electronics,1,1,15.5,17.0,0.0,247.85,4216.31,1.0,233.2,0.01606,638.5,211.6,89.9,0.0,0,sales_ops_db,daily,2023-01-04 06:00:00,940.0,5.7,100.42
2023-01-03,East,Home,1,1,28.5,39.8,0.0,78.42,3123.94,1.0,236.3,0.02352,838.2,260.8,118.9,0.0,0,sales_ops_db,daily,2023-01-04 06:00:00,1217.9,5.7,100.42
